 TITLE = "f:\20200825Ma7jiaozheng\num1\Test0120200827122054.dat"
  VARIABLES = "t(s)","PV(Pa)","PS(atm)","PI(atm)","TH(K)","TB(K)","PH(atm)","PB(atm)"
 ZONE I=           4000, DATAPACKING=POINT
 AUXDATA	ChNumber="8"
 AUXDATA	SaveFreqinHz="100"
 AUXDATA	StartTimeinSec="3807519654.015"
         0.6200       565.3020        60.2593        19.0776       582.0222       349.0106         0.0754        -0.2201
         0.6300       558.6347        60.2430        19.0657       581.4886       348.8581         0.0895        -0.2090
         0.6400       560.6549        60.2097        19.0854       581.9324       349.2274         0.0877        -0.2219
         0.6500       566.5468        60.2792        19.0779       581.8517       348.9739         0.0812        -0.2264
         0.6600       561.2333        60.1744        19.0544       581.5022       349.2745         0.0921        -0.2072
         0.6700       562.5903        60.1757        19.0857       582.2013       349.3761         0.0838        -0.2278
         0.6800       563.0478        60.2238        19.0625       581.9159       348.8433         0.0814        -0.2262
         0.6900       561.9489        60.1992        19.0592       581.5968       349.2382         0.0944        -0.2183
         0.7000       567.8560        60.2660        19.0794       581.8680       349.0766         0.0811        -0.2301
         0.7100       565.2784        60.1478        19.0624       581.8365       348.7637         0.0810        -0.2064
         0.7200       559.5992        60.1558        19.0602       581.8593       349.0540         0.0898        -0.2153
         0.7300       563.4701        60.2737        19.0458       581.7173       348.8757         0.0770        -0.2254
         0.7400       563.0222        60.1588        19.0510       581.4794       348.8712         0.0848        -0.2127
         0.7500       563.3929        60.2123        19.0941       581.9626       348.9564         0.0866        -0.2283
         0.7600       565.7896        60.2457        19.0744       581.9028       348.9134         0.0787        -0.2260
         0.7700       559.3730        60.1940        19.0484       581.5560       349.2112         0.0969        -0.2205
         0.7800       563.5421        60.2126        19.0672       581.9812       349.0580         0.0816        -0.2357
         0.7900       564.6760        60.2263        19.0659       581.6867       349.0129         0.0809        -0.2151
         0.8000       558.2426        60.2963        19.0708       581.6105       349.0286         0.0967        -0.2110
         0.8100       565.2735        60.1906        19.0714       581.7816       348.8523         0.0806        -0.2118
         0.8200       561.9184        60.1152        19.0527       581.3561       349.2472         0.0861        -0.1947
         0.8300       560.9286        60.2623        19.0686       581.6150       349.2494         0.0815        -0.2094
         0.8400       564.5394        60.1974        19.0706       581.6099       348.8092         0.0736        -0.2065
         0.8500       559.8803        60.1694        19.0741       581.7465       349.0470         0.0990        -0.2109
         0.8600       564.6871        60.2567        19.0684       582.0642       349.2036         0.0823        -0.2350
         0.8700       564.7269        60.2036        19.0473       581.5691       349.0991         0.0809        -0.1992
         0.8800       558.7385        60.2265        19.0638       581.6468       349.0666         0.0960        -0.2105
         0.8900       562.8577        60.2518        19.0672       581.6440       349.0087         0.0797        -0.2255
         0.9000       562.0714        60.1757        19.0528       581.7668       349.0141         0.0906        -0.1905
         0.9100       561.1817        60.2165        19.0632       582.2019       349.0990         0.0894        -0.2151
         0.9200       563.7162        60.2322        19.0699       581.4475       348.9039         0.0837        -0.2234
         0.9300       562.3081        60.1802        19.0730       581.6604       349.0196         0.0981        -0.2198
